"Kx"	"Ky"	"tl"	"br"	"beadl"	"beadr"
0.028522841455184	0.015326834375233	4	1278	"91"	"201"
5.16007393222948E-05	-2.44925280650394E-07	52	196	"265"	"375"
2.39800745297694E-07	5.19222950691024E-05			"429"	"539"
-8.39403357348499E-11	1.24248813521765E-10			"609"	"719"
-1.60014635609546E-10	8.6140579039355E-11			"801"	"911"
-4.59893820709658E-11	-7.4605625444915E-11			"971"	"1081"
5.79619002109435E-13	1.6387319939405E-13				
4.59405407396906E-13	3.33992050277258E-13				
-1.45331147278242E-12	3.12648780136081E-13				
-6.68307957268319E-13	-4.66540617521297E-12				
